,count_ingles,count_esp,count_port
pho,1,0,0
pic,2,0,0
pid,0,3,2
pie,1,5,0
pil,1,1,1
pio,0,1,0
pió,0,1,0
pla,5,1,1
ple,6,0,0
pli,1,1,0
plu,1,0,0
po ,0,2,2
po?,0,1,2
poc,1,1,0
pod,0,0,6
poi,0,0,1
pol,1,1,1
pon,0,3,2
por,2,19,13
pos,2,4,5
pou,0,0,2
ppe,2,0,0
ppl,2,0,0
pra,0,1,0
pre,2,8,11
pri,2,0,0
pro,2,6,9
pró,0,3,3
ps ,2,1,0
pub,2,1,1
pue,0,10,0
pur,1,0,0
put,3,1,1
pué,0,1,0
pág,0,1,1
pás,0,0,1
pé ,0,0,1
pé?,0,0,1
péu,0,0,1
pós,0,1,1
púb,0,2,2
qua,0,0,20
que,0,25,45
qui,0,8,5
qué,0,14,0
quí,0,3,0
r a,7,7,11
r b,3,0,0
r c,3,1,1
r d,5,5,5
r e,5,6,6
r f,2,3,4
r g,4,1,0
r h,5,0,0
r i,8,0,2
r k,1,0,0
r l,3,15,3
r m,7,0,2
r n,4,4,4
r o,3,2,4
r p,2,6,2
r q,0,2,3
r r,3,1,1
r s,5,3,1
r t,16,3,1
r u,0,2,4
r v,1,1,3
r w,3,0,0
r y,0,2,0
r ¿,0,5,0
r é,0,0,1
r! ,0,1,0
r? ,3,5,2
ra ,0,22,28
ra!,0,0,1
ra?,0,1,1
rab,0,2,2
rac,0,3,0
rad,2,5,5
rae,0,1,0
rai,3,0,0
raj,0,1,0
ral,1,1,1
ram,0,3,3
ran,2,10,8
rap,0,0,1
rar,0,5,5
ras,0,3,2
rat,2,0,0
rav,0,0,3
raw,1,0,0
raz,0,0,1
raç,0,0,1
rañ,0,1,0
rba,0,1,0
rca,0,1,0
rce,1,0,0
rch,1,2,0
rci,0,1,1
rd ,3,0,0
rda,1,1,1
rde,1,2,2
rdo,0,1,0
rds,1,0,0
rdó,0,1,0
re ,41,10,6
re',1,0,0
re?,5,0,0
rea,13,9,4
rec,0,9,7
red,3,2,1
ree,6,0,0
ref,3,5,1
reg,0,4,5
rei,1,0,3
rej,0,1,1
rel,2,2,3
rem,1,1,3
ren,3,6,2
reo,0,1,0
rep,0,2,2
rer,0,1,0
res,4,16,12
ret,2,1,3
rew,1,0,0
reç,0,0,3
rfe,1,1,1
rga,0,1,0
rge,1,0,0
rho,1,0,0
ri ,0,0,1
ria,0,7,9
rib,1,0,0
ric,1,1,1
rid,3,2,1
rie,6,1,0
rig,2,2,4
ril,0,1,0
rim,0,1,1
rin,5,0,3
rio,2,4,9
ris,1,0,0
rit,2,0,2
riv,3,0,0
riz,0,1,1
riê,0,0,1
rió,0,1,0
rk ,2,0,0
rk?,1,0,0
rke,1,0,0
rl ,1,0,0
rlf,1,0,0
rlo,0,1,0
rly,1,0,0
rma,0,2,2
rme,0,2,1
rmi,1,3,3
rmo,0,2,0
rmã,0,0,2
rn ,1,0,0
rna,0,1,2
rne,2,2,1
rni,1,0,0
rno,0,3,3
ro ,0,21,14
ro?,0,0,2
roa,2,0,0
roc,1,1,2
rof,1,4,4
rok,1,0,0
rom,1,1,0
ron,1,6,1
roo,3,0,0
rop,0,3,2
ror,1,0,0
ros,3,3,5
rot,1,1,1
rou,2,0,3
row,5,0,0
rpo,1,0,0
rpr,1,1,1
rqu,0,2,2
rra,0,2,1
rre,0,1,3
rri,3,0,1
rro,6,1,4
rry,2,0,0
rs ,5,0,0
rs?,1,0,0
rse,4,0,1
rsi,0,1,1
rso,1,1,1
rt ,1,0,0
rt?,2,0,0
rta,1,3,2
rte,0,5,6
rth,2,0,0
rti,1,3,3
rto,0,2,5
rtu,0,1,0
rua,0,0,4
ruc,0,2,0
rue,1,0,0
rui,1,0,0
rup,0,1,1
rut,0,1,1
ruz,0,1,1
rve,1,1,1
rvi,1,1,1
ry ,11,0,0
ry?,1,0,0
ryi,1,0,0
rzo,0,2,0
rá?,0,1,1
ráp,0,2,1
rás,0,0,1
rça,0,0,1
rço,0,0,1
ré ,0,7,0
réi,0,0,4
rên,0,0,1
rês,0,0,2
ría,0,1,0
ríe,0,1,0
río,0,4,1
ró ,0,2,0
róx,0,2,3
s  ,0,1,1
s a,19,8,16
s b,6,5,4
s c,13,16,12
s d,3,14,15
s e,2,30,14
s f,5,3,6
s g,5,3,1
s h,8,8,3
s i,15,2,1
s j,0,3,2
s k,1,0,0
s l,9,14,4
s m,7,16,9
s n,3,4,12
s o,6,4,8
s p,1,11,8
s q,0,6,6
s r,5,6,5
s s,9,11,11
s t,27,13,6
s u,0,4,0
s v,0,9,10
s w,2,0,1
s y,8,2,0
s z,0,1,0
s ¡,0,2,0
s ¿,0,5,0
s à,0,0,2
s? ,7,5,5
sa ,0,7,11
sa?,0,0,1
sab,0,2,1
sac,0,1,0
sad,0,1,2
sag,1,0,2
sai,0,0,1
saj,0,2,0
sal,0,3,2
sam,2,2,5
san,0,1,1
sap,0,0,1
saq,0,1,1
sar,0,4,3
sas,0,2,4
sav,0,0,1
saw,1,0,0
say,1,0,0
saç,0,0,1
sba,1,1,0
sca,0,2,1
sce,1,0,2
sch,6,0,0
sco,0,0,6
scr,0,0,1
scu,0,4,2
sde,0,2,2
se ,16,16,14
se?,0,0,2
sea,1,2,0
sec,1,2,0
sed,6,0,0
see,7,0,0
seg,0,1,2
sei,0,1,2
sej,0,0,1
sel,3,0,0
sem,0,0,4
sen,0,2,6
seo,1,1,0
ser,2,5,5
ses,2,4,2
seu,0,1,9
sex,0,0,2
seé,0,1,0
señ,0,1,0
sfr,0,2,2
sh ,2,0,0
she,9,0,0
shi,3,0,0
sho,5,0,0
si ,0,4,0
sia,0,4,0
sib,2,1,0
sic,1,1,1
sid,1,0,0
sie,0,4,0
sig,0,1,0
sil,0,1,0
sim,0,0,2
sin,3,3,3
sio,1,1,0
sis,1,0,0
sit,3,5,2
six,1,0,0
siz,1,0,0
ski,1,0,0
sky,1,0,0
sli,1,0,0
slo,0,1,0
sly,1,0,0
sma,1,2,2
sme,1,0,0
smi,1,0,0
smo,0,1,0
sno,1,0,0
so ,4,10,9
so?,0,1,1
soa,0,0,1
sob,0,1,1
soc,1,0,0
sok,1,1,1
sol,1,2,1
som,4,1,0
son,4,6,2
sor,2,4,4
sos,0,1,1
sou,2,0,1
soy,0,1,0
soz,0,0,1
spa,0,0,1
spe,4,5,5
spl,1,0,0
spo,0,1,2
spu,0,2,0
squ,0,1,1
sro,1,0,0
ss ,5,0,0
ssa,1,0,8
sse,4,0,8
ssi,2,0,0
sso,2,0,9
ssr,1,0,0
ssí,0,0,1
st ,10,0,0
st?,2,0,0
sta,2,27,22
ste,2,13,11
sti,1,3,1
sto,2,6,4
str,6,3,5
stu,2,2,3
stá,0,15,13
stã,0,0,2
stó,0,0,1
su ,0,4,0
sua,0,0,6
suc,1,0,0
sud,2,1,0
sue,0,2,0
sui,1,0,0
sul,1,1,2
sun,0,0,1
suo,0,0,1
sup,0,0,1
sur,3,1,1
sus,0,7,0
swe,2,0,0
são,0,0,4
sça,0,0,1
sé ,0,1,0
sí ,0,2,0
sív,0,0,1
sól,0,1,0
sõe,0,0,1
t  ,3,0,0
t a,7,0,0
t b,6,0,0
t c,2,0,0
t d,4,0,0
t e,3,0,0
t f,3,0,0
t g,1,0,0
t h,6,0,0
t i,14,0,0
t k,1,0,0
t l,3,0,0
t m,5,0,0
t n,5,0,0
t o,5,0,0
t p,1,0,0
t r,2,0,0
t s,8,0,0
t t,18,0,0
t u,1,0,0
t v,0,0,1
t w,7,0,0
t y,3,0,0
t ¿,0,1,0
t's,13,0,0
t? ,10,0,0
ta ,0,15,16
ta?,0,2,4
tab,1,1,0
tac,0,2,0
tad,0,5,6
taf,0,0,1
tai,2,0,0
tak,2,0,0
tal,2,5,5
tam,0,3,3
tan,1,12,5
tap,0,1,0
tar,0,8,6
tas,0,5,2
tat,0,1,0
tau,2,1,1
tav,0,0,2
taç,0,0,2
tañ,0,1,0
tbo,1,1,0
te ,4,46,33
te!,0,1,1
te?,0,0,1
tea,3,0,0
teb,1,0,1
tec,0,0,1
ted,2,1,0
tei,0,0,2
tel,0,1,2
tem,0,1,14
ten,2,2,1
teq,0,1,0
ter,15,7,5
tes,1,3,4
teu,0,0,1
tex,1,0,0
th ,7,0,0
th?,1,0,0
tha,16,0,0
the,103,0,0
thi,20,0,0
tho,2,0,0
thr,3,0,0
ths,1,0,0
ti ,0,1,0
tic,0,1,0
tid,0,4,3
tie,3,7,0
tif,2,0,0
tig,0,1,0
til,1,1,1
tim,3,3,1
tin,5,2,2
tio,5,2,0
tip,0,0,1
tir,0,0,1
tiu,0,0,1
tiv,0,0,1
tiz,0,0,1
tió,0,1,0
to ,34,12,27
to!,0,1,1
to?,0,1,0
toa,0,2,2
tob,0,1,0
toc,0,1,0
tod,3,3,4
tog,1,0,0
tom,5,5,2
ton,0,4,2
too,4,0,0
tor,6,1,2
tos,0,8,11
tot,1,1,1
tou,0,0,2
tow,3,0,0
toy,0,1,0
toñ,0,1,0
tra,3,17,15
tre,4,6,5
tro,1,3,4
tru,1,0,0
try,1,0,0
trá,0,0,1
trê,0,0,2
ts ,6,0,0
tte,1,0,0
tti,2,0,0
tu ,0,6,0
tua,0,1,1
tud,2,2,2
tum,1,0,1
tun,0,1,0
tur,4,0,2
tus,0,2,0
tuv,0,1,0
tuó,0,1,0
twe,2,0,0
twi,2,0,0
two,2,0,0
ty ,1,0,0
tá ,0,12,13
tán,0,1,0
tár,0,0,1
tás,0,2,0
tão,0,0,8
têm,0,0,1
tór,0,0,1
u a,0,0,7
u b,2,2,2
u c,2,3,2
u d,2,0,3
u e,0,0,6
u f,0,0,2
u g,3,0,2
u h,1,1,0
u i,2,0,2
u l,8,1,2
u m,0,2,2
u n,0,0,8
u o,0,0,4
u p,2,0,6
u q,0,0,4
u r,0,0,1
u s,2,0,2
u t,5,0,3
u u,0,0,3
u v,0,1,4
u w,3,0,0
u à,0,0,1
u'r,1,0,0
u? ,2,0,2
ua ,0,2,11
uad,0,2,0
uag,1,0,0
uai,0,0,1
ual,0,2,5
uam,0,1,1
uan,0,6,12
uar,0,0,1
uas,0,0,6
ube,0,1,0
ubl,2,1,1
uce,0,2,0
uch,1,3,0
uci,0,1,0
uco,0,0,2
uda,0,3,2
udd,2,0,0
ude,2,0,0
udi,0,2,0
udo,0,1,0
uds,1,0,0
ue ,1,20,31
ue?,0,1,1
ueb,0,0,1
ued,0,8,0
ueg,0,2,0
uei,0,0,3
uel,0,9,1
uem,0,1,3
uen,0,6,1
uer,0,7,6
ues,0,4,1
uev,0,2,0
ueñ,0,2,0
uga,0,3,2
ugg,1,0,0
ugh,5,0,0
ugi,0,1,0
ugu,0,1,0
uh ,1,0,0
ui ,0,1,1
ui?,0,0,1
uia,0,0,1
uid,0,1,1
uie,0,3,0
uil,3,1,0
uim,0,1,0
uin,0,1,2
uis,0,2,0
uit,2,0,8
uié,0,3,0
uja,0,1,0
uje,0,2,0
ujo,0,1,0
ul ,4,1,1
ul?,0,0,1
ula,0,0,2
uld,3,0,0
ulh,0,0,2
uli,0,0,1
ull,1,0,0
ulp,0,0,1
ult,2,1,1
um ,0,0,18
uma,0,0,17
umb,1,0,0
ume,0,0,1
umn,0,1,0
ump,1,0,0
un ,1,20,0
una,0,13,0
unc,1,1,1
und,3,4,3
une,0,1,0
ung,5,0,0
uni,0,2,1
uno,0,1,1
unq,0,1,0
uns,0,0,1
unt,2,1,2
uor,0,0,1
uou,1,0,0
up ,2,0,0
upa,0,0,1
upl,1,0,0
upo,0,1,2
ups,1,0,0
ur ,13,0,0
ur?,0,1,0
ura,1,3,5
ure,6,0,1
uri,1,0,0
urm,0,0,1
urn,1,0,0
uro,0,1,0
urp,1,0,1
urs,3,0,0
urt,2,0,0
us ,4,9,9
usa,0,1,1
usb,1,0,0
usc,0,1,0
use,3,0,0
usi,1,0,0
usl,1,0,0
uso,1,2,1
ust,1,6,1
ut ,7,0,0
uta,0,2,2
ute,2,0,1
uth,1,0,0
uti,2,0,0
uto,0,1,1
utr,0,0,5
utt,1,0,0
uve,0,1,1
uvi,0,0,1
uxe,0,0,1
uy ,0,4,0
uza,0,1,1
uál,0,2,0
uán,0,5,0
ué ,0,14,0
uém,0,0,2
ués,0,2,0
uí ,0,2,0
uí?,0,1,0
uó ,0,1,0
va ,0,2,4
vab,0,1,0
vac,1,1,0
vai,0,0,1
vam,0,0,5
var,2,4,1
vas,0,0,1
vat,0,0,1
vay,0,1,0
ve ,23,3,3
vec,0,3,0
veg,1,1,1
vej,0,0,2
vel,0,0,2
vem,0,1,5
ven,1,9,3
veo,0,1,0
ver,11,6,9
ves,0,2,3
vez,0,2,2
vi ,0,1,2
via,0,2,2
vic,1,1,0
vid,0,1,4
vie,1,3,0
vir,0,2,1
vis,1,1,0
viv,0,4,2
viç,0,0,1
vo ,0,1,3
voa,0,0,1
voc,0,0,28
voi,1,0,0
vol,0,0,2
vor,2,4,5
vos,0,1,1
vou,0,0,6
voy,0,3,0
voz,0,1,1
vra,0,0,1
vro,0,0,5
vue,0,3,0
vár,0,0,2
víd,0,1,0
vôo,0,0,1
w a,1,0,0
w b,1,0,0
w d,3,0,0
w f,1,0,0
w h,3,0,0
w i,4,0,0
w m,7,0,0
w t,6,0,0
w w,1,0,0
w y,2,0,0
w! ,1,1,1
w's,3,0,0
wai,2,0,0
wal,3,0,0
wan,6,0,0
was,7,0,0
wat,3,0,0
waw,0,1,1
way,4,0,0
we ,5,0,0
wea,4,0,0
wed,1,0,0
wee,2,0,0
wel,4,0,0
wen,2,0,0
wer,4,0,0
wha,10,0,0
whe,7,0,0
whi,3,0,0
who,4,0,0
why,2,0,0
wic,1,0,0
wif,1,0,0
wil,2,0,0
win,4,0,0
wip,1,0,0
wit,4,0,0
wn ,3,0,0
wo ,2,0,0
wom,2,0,0
won,1,1,1
wor,4,0,0
wou,2,0,0
wow,1,0,0
wri,1,0,0
ws?,1,0,0
x w,1,0,0
x? ,1,0,0
xa ,0,0,1
xa?,0,0,1
xas,0,0,1
xe ,0,0,2
xei,0,0,1
xem,0,0,2
xgi,1,0,0
xim,0,2,3
xis,0,0,4
xna,0,0,1
xno,0,1,0
xo ,0,0,1
xpe,1,1,1
xpr,1,1,1
xt ,4,0,0
xta,0,0,1
xtb,1,0,0
xte,0,0,1
xtr,0,3,0
y  ,2,0,0
y a,6,3,0
y b,2,1,0
y c,4,0,0
y d,3,0,0
y e,2,2,0
y f,4,2,0
y g,3,0,0
y h,9,0,0
y i,7,0,0
y j,0,1,0
y k,1,0,0
y m,4,1,0
y n,2,1,0
y o,2,0,0
y p,3,0,0
y r,0,3,0
y s,8,0,0
y t,6,0,0
y u,0,2,0
y w,4,0,0
y y,1,2,0
y ¿,0,1,0
y? ,7,3,0
yam,0,1,0
ye ,1,0,0
yea,5,2,2
yel,1,0,0
yen,0,1,0
yeo,1,0,0
yer,1,4,0
yes,5,0,0
ygr,1,0,0
yin,2,0,0
yo ,0,5,0
yon,1,1,1
yor,0,1,0
you,50,0,0
ys ,2,0,0
yth,1,0,0
z a,0,0,1
z b,0,0,1
z e,0,1,1
z h,0,1,0
z o,0,1,0
za ,0,1,0
zad,0,1,1
zan,0,2,0
zap,0,2,0
zar,0,1,0
zed,1,0,0
zen,0,0,1
zer,0,0,4
zes,0,0,2
zin,0,0,1
zo ,0,2,0
zos,0,1,0
zou,0,0,1
zém,0,0,1
¡es,0,1,0
¡si,0,1,0
¡ta,0,1,0
¡wa,0,1,0
¿a ,0,2,0
¿al,0,1,0
¿cu,0,7,0
¿có,0,6,0
¿dó,0,1,0
¿en,0,2,0
¿es,0,1,0
¿fu,0,1,0
¿ha,0,2,0
¿ll,0,1,0
¿me,0,1,0
¿pi,0,1,0
¿po,0,2,0
¿pr,0,1,0
¿pu,0,1,0
¿qu,0,13,0
¿te,0,2,0
¿tr,0,1,0
¿vi,0,1,0
¿él,0,2,0
à e,0,0,1
à i,0,0,2
à m,0,0,1
à n,0,0,3
à s,0,0,1
às ,0,0,2
á a,0,2,1
á b,0,1,0
á c,0,3,1
á d,0,0,1
á e,0,4,1
á f,0,0,1
á h,0,1,0
á l,0,1,1
á m,0,1,0
á n,0,0,4
á o,0,0,3
á p,0,0,2
á s,0,2,4
á t,0,0,2
á? ,0,1,3
ábr,0,1,1
ági,0,1,1
ágr,0,1,1
águ,0,0,2
ál ,0,2,0
ámo,0,1,0
án ,0,1,0
ánd,0,1,0
ánt,0,4,0
ápi,0,2,1
áqu,0,1,1
ári,0,0,3
ás ,0,16,1
ás?,0,1,0
ási,0,1,1
áss,0,0,1
ã c,0,0,1
ã e,0,0,1
ã m,0,0,2
ã p,0,0,1
ã s,0,0,1
ã t,0,0,1
ã v,0,0,1
ã é,0,0,2
ãe ,0,0,3
ão ,0,0,28
ãos,0,0,1
ça ,0,0,3
çad,0,0,1
çar,0,0,1
ço ,0,0,1
ço?,0,0,2
ços,0,0,2
çã ,0,0,2
ção,0,0,6
çõe,0,0,1
é a,0,3,2
é b,0,0,2
é c,0,1,0
é d,0,1,1
é e,0,9,1
é f,0,1,2
é h,0,1,0
é j,0,1,0
é l,0,2,1
é m,0,1,8
é n,0,0,1
é o,0,0,7
é p,0,0,1
é r,0,0,2
é s,0,2,2
é t,0,4,0
é u,0,1,5
é v,0,0,1
é y,0,0,1
é? ,0,0,1
édi,0,0,2
éfo,0,1,0
éia,0,0,4
éja,0,2,0
él ,0,5,0
ém ,0,0,4
éme,0,1,0
én ,0,5,0
éri,0,0,1
és ,0,3,0
ést,0,2,0
éu ,0,0,2
ê a,0,0,1
ê c,0,0,1
ê d,0,0,3
ê e,0,0,5
ê g,0,0,3
ê j,0,0,1
ê l,0,0,1
ê m,0,0,2
ê n,0,0,1
ê o,0,0,2
ê p,0,0,5
ê t,0,0,1
ê v,0,0,1
ê é,0,0,1
ê? ,0,0,2
êm ,0,0,1
ême,0,0,1
ênc,0,0,2
ês ,0,0,4
í a,0,2,0
í e,0,3,0
í h,0,1,0
í j,0,1,0
í l,0,1,0
í m,0,1,0
í n,0,1,0
í s,0,2,0
í t,0,1,0
í ¿,0,1,0
í? ,0,3,0
ía ,0,7,0
ía?,0,1,0
ías,0,1,0
íci,0,1,6
ída,0,1,0
ído,0,1,0
íes,0,1,0
íli,0,0,1
íng,0,0,1
ío ,0,4,0
íod,0,0,1
íve,0,0,1
ña ,0,1,0
ñan,0,7,0
ñas,0,1,0
ño ,0,6,0
ños,0,3,0
ñé ,0,1,0
ó  ,0,1,0
ó a,0,1,0
ó c,0,1,0
ó e,0,3,0
ó l,0,2,0
ó m,0,1,0
ó s,0,1,0
ó u,0,2,0
ó? ,0,1,0
óle,0,0,1
ólo,0,1,0
ómo,0,7,0
ón ,0,10,0
ón?,0,1,0
ónd,0,2,0
óri,0,0,1
órt,0,1,0
ós ,0,1,0
ósi,0,1,1
óxi,0,2,3
ôni,0,0,1
ôo?,0,0,1
ões,0,0,2
úbl,0,2,2
últ,0,1,0
ún ,0,1,0
ús ,0,1,0
úst,0,1,0
útb,0,1,0
úvi,0,0,1
’t ,2,0,0
